Exp_ID,Week,Owner,Hypothesis,Surface,Variant_A,Variant_B,Segment,Start_UTC,End_UTC,Primary_KPI,Guardrail_KPIs,Min_Sample,Success_Threshold,Fail_Threshold,COPPA_Families_Risk,Kill_Switch_Trigger,Rollback_Action,Status,Decision,Evidence_URL
W1-E01,1,Growth PM,Icon with clearer pet silhouette increases CVR,Store,Icon A,Icon B,Global new users,2026-02-23T00:00:00Z,2026-02-25T23:59:59Z,Store CVR,"CrashFree>=99.3%;PolicyWarnings=0",10000,+8% CVR,-5% CVR,Low,Complaint spike >0.5% reviews/day,Restore baseline icon,Planned,,
W1-E02,1,ASO Lead,Reordered screenshots improve conversion,Store,Order A,Order B,Global new users,2026-02-23T00:00:00Z,2026-02-25T23:59:59Z,Store CVR,"CrashFree>=99.3%;PolicyWarnings=0",10000,+6% CVR,-4% CVR,Low,Any unshipped feature claim in assets,Revert screenshot set,Planned,,
W1-E03,1,Game PM,Short onboarding keeps completion high,Onboarding,0s prompt,20s prompt,New users age-mode kids,2026-02-24T00:00:00Z,2026-02-27T23:59:59Z,Tutorial completion,"CrashFree>=99.3%;PolicyWarnings=0",8000,>=90%,<85%,Medium,Tutorial completion <85%,Reinstate guided onboarding,Planned,,
W2-E04,2,Economy Designer,Chest cadence every 3 runs improves D1,Economy,3 runs,4 runs,Returning users,2026-02-27T00:00:00Z,2026-03-02T23:59:59Z,D1 retention,"CrashFree>=99.3%;PolicyWarnings=0",12000,+2pp,-2pp,Medium,Negative reviews +20%,Return to prior cadence,Planned,,
W2-E05,2,Monetization Lead,3/day rewarded cap improves ARPDAU safely,Ads,2/day,3/day,Returning users,2026-02-27T00:00:00Z,2026-03-02T23:59:59Z,ARPDAU,"AdCapCompliance=100%;D1 drop<=1pp;PolicyWarnings=0",12000,+3% ARPDAU,Any cap breach or D1 -1pp,High,Any cap breach OR policy alert,Force cap=2/day disable B,Planned,,
W2-E06,2,UX Writer,Neutral CTA wording increases replay,Retention,CTA A,CTA B,All users,2026-02-28T00:00:00Z,2026-03-02T23:59:59Z,Replay rate,"CrashFree>=99.3%;PolicyWarnings=0",10000,+5%,-3%,Low,Policy/QA manipulation flag,Revert neutral approved CTA,Planned,,
W3-E07,3,Content Lead,Theme naming style increases return,Content,Naming A,Naming B,Returning users,2026-03-03T00:00:00Z,2026-03-06T23:59:59Z,D3 return,"CrashFree>=99.3%;PolicyWarnings=0",9000,+2pp,Sentiment -10%,Low,Any exclusion/fear wording flag,Remove/rename theme set,Planned,,
W3-E08,3,Systems PM,Challenge timing increases healthy sessions,Retention,Default timing A,Default timing B,Returning users,2026-03-03T00:00:00Z,2026-03-06T23:59:59Z,Session frequency,"PolicyWarnings=0;Sentiment stable",9000,+4%,Sentiment +15% negative,Medium,Sentiment drop +15%,Disable default challenge prompt,Planned,,
W3-E09,3,Economy Designer,5-of-7 stamp threshold reduces pressure,Economy,7 streak,5-of-7,Returning users,2026-03-04T00:00:00Z,2026-03-07T23:59:59Z,D7 retention,"PolicyWarnings=0;Session length health",9000,+1.5pp,Session inflation >25%,Medium,Inflation >25% + sentiment decline,Revert to prior threshold,Planned,,
W4-E10,4,Localization Lead,EN+ES+PT improves conversion,Localization,EN only,EN+ES+PT,New users supported locales,2026-03-08T00:00:00Z,2026-03-12T23:59:59Z,New-user conversion,"TranslationQA>=95%;PolicyWarnings=0",12000,+5%,QA <95%,Low,Translation QA <95% or policy term error,Roll back affected locale,Planned,,
W4-E11,4,UA Lead,Creative refresh cadence improves CTR,UA,Cadence A,Cadence B,UA cohort,2026-03-10T00:00:00Z,2026-03-14T23:59:59Z,CTR,"CVR stable;PolicyWarnings=0",15000,+7%,CVR -10%,Low,CVR drop >10% over 48h,Revert creative pack,Planned,,
W4-E12,4,UA Lead + Compliance,Soft pilot on approved placements improves quality installs,UA,Placement set A,Placement set B,UA family-safe inventory,2026-03-10T00:00:00Z,2026-03-14T23:59:59Z,Quality installs,"PolicyWarnings=0;Disapprovals=0",15000,+10% quality installs,Any Families warning,High,Any Families warning/disapproval,Pause pilot immediately,Planned,,
